,Transacted_Price_dollar
0,1240000
1,1220000
2,1270000
3,1530000
4,1399900
5,1230000
6,1220000
7,1330000
8,1330000
9,1190000
10,1300000
11,1080000
12,1300000
13,1115000
14,1250000
15,1190000
16,1180000
17,1275000
18,1510000
19,1140000
20,1260000
21,1470000
22,1140000
23,1238888
24,1520000
25,1210000
26,1208000
27,1320000
28,1480000
29,1390000
30,1238888
31,1520000
32,1200000
33,1028000
34,1278888
35,1250000
36,1240000
37,1245000
38,1528000
39,1300000
40,1200000
41,970000
42,1288000
43,1155888
44,1158000
45,1200000
46,1195000
47,1250000
48,1262000
49,1310000
50,1200000
51,1200000
52,1259000
53,1520000
54,1293000
55,1235000
56,1250000
57,1200000
58,1230000
59,1270000
60,1200000
61,1200000
62,1238888
63,1225000
64,1478000
65,1418888
66,1210000
67,1150000
68,1460000
69,1260000
70,1250000
71,1330000
72,1210000
73,1275000
74,1231000
75,1250000
76,1165000
77,1230000
78,1140000
79,1180000
80,1050000
81,1230000
82,1413000
83,1135000
84,1050000
85,1250000
86,1170000
87,1490000
88,1416888
89,1170000
90,1220000
91,1253000
92,974000
93,950000
94,1010000
95,1250000
96,1010000
97,1390000
98,1188888
99,1070000
100,988000
101,1220000
102,1190088
103,1288000
104,1220000
105,1380000
106,1180000
107,1155000
108,1172000
109,1400000
110,1325000
111,1365000
112,1270000
113,1160000
114,1150000
115,1480000
116,855000
117,1320000
118,938000
119,1250888
120,815000
121,1150000
122,1390000
123,1250000
124,1238000
125,1208000
126,1230000
127,1000000
128,982000
129,1080000
130,880000
131,1220000
132,783000
133,1040888
134,871000
135,1000000
136,1160000
